window,variant,horizon,cost_bps,rank_ic_mean,rank_ic_positive_rate,rank_ic_dates,top_bucket_return_mean,bottom_bucket_return_mean,top_bottom_spread_mean,top_bottom_hit_rate,top_bucket_max_drawdown,spread_max_drawdown,turnover_mean,sector_exposure_top,top_avg_close,universe_avg_close,top_avg_adv20,universe_avg_adv20,score_size_spearman,score_liquidity_spearman,observations
old_thin,momentum_60,60,70,-0.051617,0.469136,81,0.170268,-0.010997,0.181265,0.567901,-0.140243,-0.073694,0.065625,"{""Communication Services"": 0.034, ""Consumer Discretionary"": 0.1512, ""Financials"": 0.0772, ""Industrials"": 0.0154, ""Technology"": 0.7222}",196.514222,261.471432,7155671976.002165,3965945565.558198,0.040034,0.039408,3077
old_thin,reversal_5,5,0,-0.001427,0.5,136,0.008489,0.002838,0.005651,0.522059,-0.254699,-0.215311,0.401852,"{""Communication Services"": 0.0276, ""Consumer Discretionary"": 0.0919, ""Energy"": 0.0551, ""Financials"": 0.0864, ""Healthcare"": 0.1379, ""Industrials"": 0.0607, ""Technology"": 0.5, ""Unknown"": 0.0404}",210.708529,262.049285,5960049457.438856,4275057748.386484,-0.034586,0.024624,5167
old_thin,reversal_5,10,0,0.011315,0.549618,131,0.012821,0.007217,0.005604,0.587786,-0.214778,-0.219796,0.4,"{""Communication Services"": 0.0248, ""Consumer Discretionary"": 0.0935, ""Energy"": 0.0458, ""Financials"": 0.0897, ""Healthcare"": 0.1393, ""Industrials"": 0.063, ""Technology"": 0.5038, ""Unknown"": 0.0401}",209.894175,262.858579,5920396783.424902,4239229571.178708,-0.035223,0.029009,4977
old_thin,reversal_5,20,0,-0.005379,0.595041,121,0.014097,0.021428,-0.007331,0.495868,-0.201406,-0.228018,0.402083,"{""Communication Services"": 0.0269, ""Consumer Discretionary"": 0.1012, ""Energy"": 0.0434, ""Financials"": 0.0909, ""Healthcare"": 0.1467, ""Industrials"": 0.0682, ""Technology"": 0.4897, ""Unknown"": 0.0331}",217.268958,264.588761,6137244640.62089,4197200941.448284,-0.009045,0.037839,4597
old_thin,reversal_5,60,0,-0.047217,0.419753,81,0.013507,0.107242,-0.093735,0.358025,-0.07748,-0.196612,0.409375,"{""Communication Services"": 0.0278, ""Consumer Discretionary"": 0.0926, ""Energy"": 0.0648, ""Financials"": 0.0864, ""Healthcare"": 0.1698, ""Industrials"": 0.0833, ""Technology"": 0.4444, ""Unknown"": 0.0309}",224.575248,261.471432,5494109864.104409,3965945565.558198,0.003815,0.046667,3077
old_thin,reversal_5,5,35,-0.001427,0.5,136,0.004989,-0.000662,0.005651,0.522059,-0.273604,-0.215311,0.401852,"{""Communication Services"": 0.0276, ""Consumer Discretionary"": 0.0919, ""Energy"": 0.0551, ""Financials"": 0.0864, ""Healthcare"": 0.1379, ""Industrials"": 0.0607, ""Technology"": 0.5, ""Unknown"": 0.0404}",210.708529,262.049285,5960049457.438856,4275057748.386484,-0.034586,0.024624,5167
old_thin,reversal_5,10,35,0.011315,0.549618,131,0.009321,0.003717,0.005604,0.587786,-0.226728,-0.219796,0.4,"{""Communication Services"": 0.0248, ""Consumer Discretionary"": 0.0935, ""Energy"": 0.0458, ""Financials"": 0.0897, ""Healthcare"": 0.1393, ""Industrials"": 0.063, ""Technology"": 0.5038, ""Unknown"": 0.0401}",209.894175,262.858579,5920396783.424902,4239229571.178708,-0.035223,0.029009,4977
old_thin,reversal_5,20,35,-0.005379,0.595041,121,0.010597,0.017928,-0.007331,0.495868,-0.207804,-0.228018,0.402083,"{""Communication Services"": 0.0269, ""Consumer Discretionary"": 0.1012, ""Energy"": 0.0434, ""Financials"": 0.0909, ""Healthcare"": 0.1467, ""Industrials"": 0.0682, ""Technology"": 0.4897, ""Unknown"": 0.0331}",217.268958,264.588761,6137244640.62089,4197200941.448284,-0.009045,0.037839,4597
old_thin,reversal_5,60,35,-0.047217,0.419753,81,0.010007,0.103742,-0.093735,0.358025,-0.080078,-0.196612,0.409375,"{""Communication Services"": 0.0278, ""Consumer Discretionary"": 0.0926, ""Energy"": 0.0648, ""Financials"": 0.0864, ""Healthcare"": 0.1698, ""Industrials"": 0.0833, ""Technology"": 0.4444, ""Unknown"": 0.0309}",224.575248,261.471432,5494109864.104409,3965945565.558198,0.003815,0.046667,3077
old_thin,reversal_5,5,70,-0.001427,0.5,136,0.001489,-0.004162,0.005651,0.522059,-0.292096,-0.215311,0.401852,"{""Communication Services"": 0.0276, ""Consumer Discretionary"": 0.0919, ""Energy"": 0.0551, ""Financials"": 0.0864, ""Healthcare"": 0.1379, ""Industrials"": 0.0607, ""Technology"": 0.5, ""Unknown"": 0.0404}",210.708529,262.049285,5960049457.438856,4275057748.386484,-0.034586,0.024624,5167
